entity_id,state,datetime
sensor.buro_temperatur_temperature,20.57,2024-12-02T12:31:00.883Z
sensor.buro_temperatur_temperature,20.76,2024-12-02T13:01:00.776Z
sensor.buro_temperatur_temperature,20.77,2024-12-02T13:31:00.754Z
sensor.buro_temperatur_temperature,20.59,2024-12-02T14:31:00.747Z
sensor.buro_temperatur_temperature,20.4,2024-12-02T15:01:00.602Z
sensor.buro_temperatur_temperature,20.09,2024-12-02T15:31:00.487Z
sensor.buro_temperatur_temperature,19.82,2024-12-02T16:01:00.441Z
sensor.buro_temperatur_temperature,19.57,2024-12-02T16:31:00.426Z
sensor.buro_temperatur_temperature,19.38,2024-12-02T17:01:00.425Z
sensor.buro_temperatur_temperature,19.21,2024-12-02T17:31:00.289Z
sensor.buro_temperatur_temperature,19.07,2024-12-02T18:01:00.227Z
sensor.buro_temperatur_temperature,18.92,2024-12-02T18:31:00.163Z
sensor.buro_temperatur_temperature,18.79,2024-12-02T19:01:00.049Z
sensor.buro_temperatur_temperature,18.69,2024-12-02T19:31:00.025Z
sensor.buro_temperatur_temperature,18.6,2024-12-02T20:01:00.025Z
sensor.buro_temperatur_temperature,18.49,2024-12-02T20:30:59.972Z
sensor.buro_temperatur_temperature,18.48,2024-12-02T21:00:59.897Z
sensor.buro_temperatur_temperature,18.54,2024-12-02T21:30:59.720Z
sensor.buro_temperatur_temperature,18.51,2024-12-02T22:30:59.686Z
sensor.buro_temperatur_temperature,18.46,2024-12-02T23:00:59.622Z
sensor.buro_temperatur_temperature,18.42,2024-12-02T23:30:59.710Z
sensor.buro_temperatur_temperature,18.35,2024-12-03T00:00:59.534Z
sensor.buro_temperatur_temperature,18.29,2024-12-03T00:30:59.522Z
sensor.buro_temperatur_temperature,18.24,2024-12-03T01:00:59.471Z
sensor.buro_temperatur_temperature,18.2,2024-12-03T01:30:59.441Z
sensor.buro_temperatur_temperature,18.13,2024-12-03T02:00:59.353Z
sensor.buro_temperatur_temperature,18.08,2024-12-03T02:30:59.289Z
sensor.buro_temperatur_temperature,18.02,2024-12-03T03:00:59.209Z
sensor.buro_temperatur_temperature,17.97,2024-12-03T03:30:59.084Z
sensor.buro_temperatur_temperature,17.91,2024-12-03T04:00:59.013Z
sensor.buro_temperatur_temperature,17.88,2024-12-03T04:30:59.014Z
sensor.buro_temperatur_temperature,17.82,2024-12-03T05:00:59.079Z
sensor.buro_temperatur_temperature,17.77,2024-12-03T05:30:58.983Z
sensor.buro_temperatur_temperature,17.74,2024-12-03T06:00:58.944Z
sensor.buro_temperatur_temperature,17.69,2024-12-03T06:30:58.791Z
sensor.buro_temperatur_temperature,17.66,2024-12-03T07:00:58.720Z
sensor.buro_temperatur_temperature,17.75,2024-12-03T07:30:58.637Z
sensor.buro_temperatur_temperature,17.91,2024-12-03T08:00:58.651Z
sensor.buro_temperatur_temperature,18.02,2024-12-03T08:30:58.520Z
sensor.buro_temperatur_temperature,17.69,2024-12-03T08:46:40.976Z
sensor.buro_temperatur_temperature,17.8,2024-12-03T09:00:58.447Z
